Melody, note by note against vocadito's annotations (real solo singing)
(the annotators column is one musician scored against the other by this
 same rule: it is the ceiling, not a target to pass)
(read through the separated vocal: what analyze --melody now does)
  vocadito_1: notes=63/59  F1@50ms 68.9%  F1@100ms 77.0%  pitch 85.0%  voiced 97.5%  annotators 86.2% (64 notes)
  vocadito_2: notes=56/76  F1@50ms 60.6%  F1@100ms 66.7%  pitch 92.1%  voiced 99.5%  annotators 69.1% (63 notes)
  vocadito_3: notes=48/51  F1@50ms 70.7%  F1@100ms 82.8%  pitch 89.3%  voiced 97.7%  annotators 80.4% (46 notes)
  vocadito_4: notes=49/69  F1@50ms 62.7%  F1@100ms 71.2%  pitch 83.0%  voiced 94.0%  annotators 70.0% (51 notes)
  vocadito_5: notes=73/96  F1@50ms 60.4%  F1@100ms 73.4%  pitch 77.4%  voiced 96.1%  annotators 56.0% (72 notes)
  vocadito_6: notes=71/73  F1@50ms 69.4%  F1@100ms 72.2%  pitch 80.5%  voiced 99.3%  annotators 60.2% (50 notes)
  vocadito_7: notes=47/47  F1@50ms 70.2%  F1@100ms 74.5%  pitch 88.8%  voiced 98.4%  annotators 69.7% (42 notes)
  vocadito_8: notes=37/40  F1@50ms 88.3%  F1@100ms 93.5%  pitch 89.6%  voiced 99.7%  annotators 96.1% (37 notes)
  vocadito_9: notes=59/62  F1@50ms 72.7%  F1@100ms 82.6%  pitch 90.1%  voiced 99.7%  annotators 71.1% (59 notes)
  vocadito_10: notes=33/35  F1@50ms 35.3%  F1@100ms 52.9%  pitch 63.9%  voiced 91.8%  annotators 67.7% (27 notes)
  vocadito_11: notes=31/37  F1@50ms 50.0%  F1@100ms 70.6%  pitch 88.1%  voiced 97.6%  annotators 62.7% (30 notes)
  vocadito_12: notes=30/27  F1@50ms 59.6%  F1@100ms 77.2%  pitch 93.3%  voiced 99.9%  annotators 78.4% (24 notes)
  vocadito_13: notes=66/74  F1@50ms 47.1%  F1@100ms 57.1%  pitch 72.1%  voiced 93.7%  annotators 61.9% (52 notes)
  vocadito_14: notes=39/34  F1@50ms 57.5%  F1@100ms 68.5%  pitch 80.1%  voiced 99.1%  annotators 66.7% (26 notes)
  vocadito_15: notes=53/47  F1@50ms 62.0%  F1@100ms 70.0%  pitch 88.1%  voiced 96.3%  annotators 79.5% (41 notes)
  vocadito_16: notes=48/47  F1@50ms 67.4%  F1@100ms 84.2%  pitch 88.4%  voiced 99.4%  annotators 65.1% (36 notes)
  vocadito_17: notes=48/54  F1@50ms 66.7%  F1@100ms 76.5%  pitch 86.4%  voiced 97.1%  annotators 65.3% (47 notes)
  vocadito_18: notes=55/45  F1@50ms 64.0%  F1@100ms 70.0%  pitch 83.0%  voiced 98.4%  annotators 78.5% (34 notes)
  vocadito_19: notes=91/73  F1@50ms 51.2%  F1@100ms 65.9%  pitch 73.6%  voiced 94.9%  annotators 82.1% (61 notes)
  vocadito_20: notes=31/31  F1@50ms 71.0%  F1@100ms 74.2%  pitch 80.0%  voiced 98.7%  annotators 85.2% (30 notes)
  vocadito_21: notes=72/97  F1@50ms 47.3%  F1@100ms 54.4%  pitch 75.7%  voiced 92.8%  annotators 61.6% (62 notes)
  vocadito_22: notes=43/45  F1@50ms 70.5%  F1@100ms 77.3%  pitch 86.6%  voiced 96.0%  annotators 80.4% (47 notes)
  vocadito_23: notes=48/53  F1@50ms 61.4%  F1@100ms 67.3%  pitch 77.8%  voiced 95.4%  annotators 82.7% (51 notes)
  vocadito_24: notes=28/39  F1@50ms 47.8%  F1@100ms 59.7%  pitch 84.2%  voiced 98.8%  annotators 81.2% (30 notes)
  vocadito_25: notes=45/38  F1@50ms 65.1%  F1@100ms 72.3%  pitch 84.0%  voiced 100.0%  annotators 73.2% (33 notes)
  vocadito_26: notes=53/73  F1@50ms 69.8%  F1@100ms 71.4%  pitch 79.4%  voiced 98.8%  annotators 79.1% (56 notes)
  vocadito_27: notes=31/34  F1@50ms 61.5%  F1@100ms 64.6%  pitch 79.5%  voiced 98.7%  annotators 80.6% (28 notes)
  vocadito_28: notes=38/44  F1@50ms 58.5%  F1@100ms 63.4%  pitch 78.4%  voiced 98.3%  annotators 73.6% (43 notes)
  vocadito_29: notes=31/36  F1@50ms 74.6%  F1@100ms 77.6%  pitch 90.1%  voiced 99.8%  annotators 85.3% (32 notes)
  vocadito_30: notes=51/58  F1@50ms 45.9%  F1@100ms 60.6%  pitch 66.0%  voiced 95.2%  annotators 59.2% (40 notes)
  vocadito_31: notes=44/47  F1@50ms 72.5%  F1@100ms 74.7%  pitch 76.3%  voiced 96.9%  annotators 77.6% (38 notes)
  vocadito_32: notes=53/57  F1@50ms 47.3%  F1@100ms 61.8%  pitch 80.0%  voiced 100.0%  annotators 73.2% (55 notes)
  vocadito_33: notes=84/80  F1@50ms 54.9%  F1@100ms 62.2%  pitch 76.5%  voiced 96.5%  annotators 63.5% (87 notes)
  vocadito_34: notes=67/89  F1@50ms 55.1%  F1@100ms 67.9%  pitch 86.2%  voiced 96.6%  annotators 64.1% (95 notes)
  vocadito_35: notes=35/37  F1@50ms 61.1%  F1@100ms 66.7%  pitch 77.8%  voiced 93.8%  annotators 54.0% (26 notes)
  vocadito_36: notes=57/67  F1@50ms 51.6%  F1@100ms 69.4%  pitch 77.5%  voiced 93.4%  annotators 66.1% (54 notes)
  vocadito_37: notes=49/51  F1@50ms 76.0%  F1@100ms 80.0%  pitch 88.7%  voiced 100.0%  annotators 71.7% (41 notes)
  vocadito_38: notes=66/78  F1@50ms 59.7%  F1@100ms 72.2%  pitch 78.0%  voiced 97.8%  annotators 73.2% (64 notes)
  vocadito_39: notes=82/92  F1@50ms 59.8%  F1@100ms 67.8%  pitch 80.4%  voiced 98.7%  annotators 62.0% (66 notes)
  vocadito_40: notes=45/45  F1@50ms 60.0%  F1@100ms 73.3%  pitch 84.9%  voiced 98.8%  annotators 79.0% (36 notes)
