Melody, note by note against vocadito's annotations (real solo singing)
(the annotators column is one musician scored against the other by this
 same rule: it is the ceiling, not a target to pass)
  vocadito_1: notes=60/59  F1@50ms 72.3%  F1@100ms 82.4%  pitch 85.2%  voiced 96.0%  annotators 86.2% (64 notes)
  vocadito_2: notes=54/76  F1@50ms 61.5%  F1@100ms 67.7%  pitch 94.2%  voiced 99.1%  annotators 69.1% (63 notes)
  vocadito_3: notes=46/51  F1@50ms 72.2%  F1@100ms 86.6%  pitch 89.5%  voiced 96.9%  annotators 80.4% (46 notes)
  vocadito_4: notes=47/69  F1@50ms 62.1%  F1@100ms 69.0%  pitch 82.7%  voiced 94.1%  annotators 70.0% (51 notes)
  vocadito_5: notes=69/96  F1@50ms 63.0%  F1@100ms 73.9%  pitch 78.4%  voiced 94.7%  annotators 56.0% (72 notes)
  vocadito_6: notes=61/73  F1@50ms 70.1%  F1@100ms 73.1%  pitch 80.2%  voiced 99.1%  annotators 60.2% (50 notes)
  vocadito_7: notes=43/47  F1@50ms 71.1%  F1@100ms 77.8%  pitch 88.4%  voiced 97.7%  annotators 69.7% (42 notes)
  vocadito_8: notes=36/40  F1@50ms 86.8%  F1@100ms 89.5%  pitch 87.3%  voiced 98.6%  annotators 96.1% (37 notes)
  vocadito_9: notes=57/62  F1@50ms 73.9%  F1@100ms 84.0%  pitch 89.9%  voiced 99.6%  annotators 71.1% (59 notes)
  vocadito_10: notes=31/35  F1@50ms 36.4%  F1@100ms 54.5%  pitch 63.9%  voiced 91.8%  annotators 67.7% (27 notes)
  vocadito_11: notes=27/37  F1@50ms 46.9%  F1@100ms 68.8%  pitch 88.3%  voiced 97.6%  annotators 62.7% (30 notes)
  vocadito_12: notes=30/27  F1@50ms 59.6%  F1@100ms 77.2%  pitch 93.3%  voiced 99.9%  annotators 78.4% (24 notes)
  vocadito_13: notes=58/74  F1@50ms 48.5%  F1@100ms 59.1%  pitch 72.7%  voiced 93.6%  annotators 61.9% (52 notes)
  vocadito_14: notes=37/34  F1@50ms 59.2%  F1@100ms 70.4%  pitch 80.1%  voiced 97.1%  annotators 66.7% (26 notes)
  vocadito_15: notes=46/47  F1@50ms 68.8%  F1@100ms 75.3%  pitch 88.9%  voiced 96.3%  annotators 79.5% (41 notes)
  vocadito_16: notes=46/47  F1@50ms 68.8%  F1@100ms 83.9%  pitch 88.1%  voiced 99.2%  annotators 65.1% (36 notes)
  vocadito_17: notes=45/54  F1@50ms 68.7%  F1@100ms 78.8%  pitch 86.5%  voiced 96.9%  annotators 65.3% (47 notes)
  vocadito_18: notes=50/45  F1@50ms 67.4%  F1@100ms 73.7%  pitch 83.6%  voiced 97.2%  annotators 78.5% (34 notes)
  vocadito_19: notes=82/73  F1@50ms 51.6%  F1@100ms 67.1%  pitch 73.5%  voiced 93.2%  annotators 82.1% (61 notes)
  vocadito_20: notes=29/31  F1@50ms 76.7%  F1@100ms 76.7%  pitch 81.4%  voiced 98.7%  annotators 85.2% (30 notes)
  vocadito_21: notes=70/97  F1@50ms 46.7%  F1@100ms 53.9%  pitch 75.9%  voiced 92.7%  annotators 61.6% (62 notes)
  vocadito_22: notes=39/45  F1@50ms 71.4%  F1@100ms 78.6%  pitch 87.5%  voiced 95.3%  annotators 80.4% (47 notes)
  vocadito_23: notes=43/53  F1@50ms 66.7%  F1@100ms 72.9%  pitch 79.2%  voiced 94.2%  annotators 82.7% (51 notes)
  vocadito_24: notes=27/39  F1@50ms 48.5%  F1@100ms 57.6%  pitch 83.9%  voiced 98.8%  annotators 81.2% (30 notes)
  vocadito_25: notes=37/38  F1@50ms 69.3%  F1@100ms 77.3%  pitch 84.8%  voiced 99.2%  annotators 73.2% (33 notes)
  vocadito_26: notes=52/73  F1@50ms 70.4%  F1@100ms 72.0%  pitch 79.8%  voiced 98.8%  annotators 79.1% (56 notes)
  vocadito_27: notes=30/34  F1@50ms 62.5%  F1@100ms 65.6%  pitch 79.8%  voiced 98.7%  annotators 80.6% (28 notes)
  vocadito_28: notes=35/44  F1@50ms 58.2%  F1@100ms 63.3%  pitch 78.7%  voiced 98.3%  annotators 73.6% (43 notes)
